#TI Threads vs. simulation time N^2=16^2, DT=50, A=1
#TX Simulation type
#TY number of threads (compact)
threads\SimType	nr_fd_spec_agrid	nr_fd_cart_agrid	nr_fd_spec_cgrid	nr_fd_cart_cgrid	nr_spec_spec_agrid	rexi_par_m000032	rexi_m000032	rexi_fd_par_m0032	rexi_fd_m0032	rexi_par_m000064	rexi_m000064	rexi_fd_par_m0064	rexi_fd_m0064	rexi_par_m000128	rexi_m000128	rexi_fd_par_m0128	rexi_fd_m0128	rexi_par_m000256	rexi_m000256	rexi_fd_par_m0256	rexi_fd_m0256	rexi_par_m000512	rexi_m000512	rexi_fd_par_m0512	rexi_fd_m0512	rexi_par_m001024	rexi_m001024	rexi_fd_par_m1024	rexi_fd_m1024	rexi_par_m004096	rexi_m004096	rexi_fd_par_m4096	rexi_fd_m4096	rexi_par_m016384	rexi_m016384	rexi_fd_par_m16384	rexi_fd_m16384
1	0.19332	0.258425	0.241374	0.940748	0.24035	0.012916	0.012448	0.010212	0.015722	0.019555	0.021199	0.017579	0.021866	0.034252	0.039235	0.031553	0.0391	0.061084	0.073735	0.061094	0.077646	0.120103	0.1447	0.151258	0.153619	0.233571	0.285759	0.270697	0.281706	0.986425	1.122332	0.979402	1.120313	3.697206	4.507027	3.734038	4.788336
2	0.386885	0.325278	0.466486	0.74763	0.384789	0.007013	0.023528	0.006868	0.017952	0.011513	0.031487	0.011704	0.031014	0.020546	0.056714	0.020238	0.073394	0.039105	0.109707	0.04837	0.107055	0.094113	0.211935	0.09499	0.235578	0.185794	0.424057	0.146656	0.418084	0.630316	1.66648	0.609849	1.653608	2.26949	6.586597	2.384241	6.564471
4	0.479511	0.352895	0.588665	0.604204	0.476348	0.007091	0.020394	0.007331	0.020174	0.014221	0.035069	0.014721	0.043413	0.023613	0.061848	0.021044	0.067204	0.049842	0.145681	0.044746	0.158813	0.075577	0.236259	0.075644	0.259259	0.181383	0.457471	0.163875	0.456847	0.564183	1.766312	0.585254	1.780002	2.534305	7.262168	2.3013	7.14694
8	0.60399	0.45983	0.739469	0.67497	0.61499	0.007749	0.023905	0.007585	0.025379	0.012031	0.046223	0.013139	0.047603	0.022851	0.084814	0.020755	0.072762	0.044888	0.159886	0.0427	0.138716	0.084379	0.273572	0.083015	0.27393	0.160853	0.552967	0.15656	0.533708	0.557037	2.129557	0.557783	2.136385	2.34646	8.475438	2.244502	8.424296
12	1.278713	1.07573	1.575413	1.369712	1.259133	0.01392	0.056852	0.01749	0.09212	0.021157	0.096344	0.02249	0.099797	0.043666	0.166437	0.044021	0.173104	0.082141	0.323014	0.079043	0.32125	0.156444	0.606781	0.155169	0.634539	0.274902	1.275965	0.278027	1.236875	1.031921	5.095288	1.044172	4.894192	4.088342	19.901325	4.197508	19.60243
16	1.529474	1.153065	1.992504	1.582447	1.416696	0.014652	0.054568	0.015357	0.051275	0.023243	0.093172	0.023789	0.09734	0.047491	0.189992	0.044842	0.200277	0.085039	0.351619	0.084684	0.316277	0.152411	0.767133	0.145602	0.585154	0.303367	1.291333	0.290729	1.727906	1.089097	5.945362	1.089175	5.513379	4.398955	26.464187	4.391859	24.461393
