#TI Threads vs. simulation time N^2=16^2, DT=50, A=2
#TX Simulation type
#TY number of threads (compact)
threads\SimType	nr_fd_spec_agrid	nr_fd_cart_agrid	nr_fd_spec_cgrid	nr_fd_cart_cgrid	nr_spec_spec_agrid	rexi_par_m000032	rexi_m000032	rexi_fd_par_m0032	rexi_fd_m0032	rexi_par_m000064	rexi_m000064	rexi_fd_par_m0064	rexi_fd_m0064	rexi_par_m000128	rexi_m000128	rexi_fd_par_m0128	rexi_fd_m0128	rexi_par_m000256	rexi_m000256	rexi_fd_par_m0256	rexi_fd_m0256	rexi_par_m000512	rexi_m000512	rexi_fd_par_m0512	rexi_fd_m0512	rexi_par_m001024	rexi_m001024	rexi_fd_par_m1024	rexi_fd_m1024	rexi_par_m004096	rexi_m004096	rexi_fd_par_m4096	rexi_fd_m4096	rexi_par_m016384	rexi_m016384	rexi_fd_par_m16384	rexi_fd_m16384
1	0.159403	0.231228	0.19587	0.912853	0.159641	0.009223	0.011289	0.009197	0.011391	0.015872	0.01928	0.01569	0.024639	0.028701	0.036199	0.036776	0.035311	0.055405	0.067856	0.069656	0.067329	0.137217	0.134079	0.135439	0.130615	0.212403	0.265532	0.249568	0.262733	0.83531	1.028354	0.8868	1.034332	3.372273	4.101418	3.350016	4.113895
2	0.343104	0.302083	0.411848	0.724828	0.342704	0.005163	0.022113	0.005099	0.016739	0.008827	0.029308	0.008757	0.036606	0.015837	0.054516	0.015683	0.068202	0.037967	0.10248	0.030229	0.101976	0.056978	0.203056	0.075398	0.201935	0.115418	0.396531	0.144322	0.402327	0.484281	1.552852	0.473968	1.560753	1.749974	6.296723	1.825742	6.310101
4	0.46658	0.33761	0.521107	0.598219	0.445778	0.00324	0.018425	0.003612	0.01979	0.005659	0.032256	0.005352	0.0396	0.009348	0.058048	0.01124	0.070811	0.016902	0.139881	0.016888	0.114263	0.031996	0.215064	0.038713	0.21879	0.062475	0.424585	0.076419	0.430784	0.244556	1.708542	0.246744	1.71304	0.989763	7.513278	0.991925	6.720146
8	0.571484	0.449965	0.677026	0.623589	0.575708	0.003663	0.029009	0.003967	0.026392	0.00438	0.039762	0.004065	0.044199	0.007559	0.069675	0.006446	0.071984	0.011964	0.152098	0.011418	0.153127	0.024414	0.276442	0.023411	0.259179	0.046192	0.508044	0.055582	0.523578	0.172393	1.980745	0.164291	2.05057	0.794428	7.964857	0.617919	8.028765
12	1.203972	1.072597	1.422114	1.361379	1.224739	0.005092	0.053937	0.005074	0.05318	0.009748	0.09501	0.007568	0.097376	0.0137	0.174135	0.012755	0.179252	0.023262	0.308974	0.026962	0.318603	0.040642	0.607966	0.038758	0.595676	0.071816	1.203859	0.075521	1.128065	0.282954	4.727259	0.265407	4.752082	0.985024	18.38597	0.977243	18.828924
16	1.261593	1.149291	1.698226	1.423731	1.295817	0.006604	0.051021	0.008633	0.052337	0.011311	0.085197	0.010045	0.091756	0.018312	0.154991	0.013621	0.161991	0.028731	0.311507	0.027341	0.28815	0.047875	0.710378	0.043945	0.649596	0.084652	1.247643	0.094264	1.278449	0.291674	4.952873	0.308263	5.310212	1.144433	22.819014	1.162802	22.993679
