#TI Error vs. resolution N^2=256^2
#TX Simulation type
#TY Resolution
N\SimType	nr_fd_spec_agrid	nr_fd_cart_agrid	nr_fd_spec_cgrid	nr_fd_cart_cgrid	nr_spec_spec_agrid	rexi_par_m000032	rexi_m000032	rexi_fd_par_m0032	rexi_fd_m0032	rexi_par_m000064	rexi_m000064	rexi_fd_par_m0064	rexi_fd_m0064	rexi_par_m000128	rexi_m000128	rexi_fd_par_m0128	rexi_fd_m0128	rexi_par_m000256	rexi_m000256	rexi_fd_par_m0256	rexi_fd_m0256	rexi_par_m000512	rexi_m000512	rexi_fd_par_m0512	rexi_fd_m0512	rexi_par_m001024	rexi_m001024	rexi_fd_par_m1024	rexi_fd_m1024	rexi_par_m004096	rexi_m004096	rexi_fd_par_m4096	rexi_fd_m4096	rexi_par_m016384	rexi_m016384	rexi_fd_par_m16384	rexi_fd_m16384
16	0.151702912427	0.151702912427	0.159285819919	0.159285819919	0.000934788296372	0.137954176254	0.137954176254	0.137231758547	0.137231758547	0.137954176254	0.137954176254	0.16969829294	0.16969829294	0.137954176254	0.137954176254	0.138050385611	0.138050385611	0.0481813581998	0.0481813581998	0.130117515792	0.130117515792	0.00622050271043	0.00622050271043	0.131973746578	0.131973746578	0.000520888299303	0.000520888299303	0.131594260778	0.131594260778	2.87954961438e-05	2.87954961438e-05	0.131554929344	0.131554929344	6.34158231967e-07	6.34158231967e-07	0.131558425507	0.131558425507
32	0.128692662385	0.128692662385	0.111927254981	0.111927254981	6.49408505397e-05	0.137956245198	0.137956245198	0.137760829118	0.137760829118	0.137956245198	0.137956245198	0.0596344061955	0.0596344061955	0.137956245198	0.137956245198	0.098245180609	0.098245180609	0.0481756325169	0.0481756325169	0.103790361234	0.103790361234	0.00622403249831	0.00622403249831	0.102668638276	0.102668638276	0.000522412393107	0.000522412393107	0.102890705909	0.102890705909	2.87931123637e-05	2.87931123637e-05	0.102913483988	0.102913483988	6.34105457854e-07	6.34105457854e-07	0.102911464725	0.102911464725
64	0.111015972449	0.111015972449	0.0556372483148	0.0556372483151	1.47419481771e-05	0.137956797068	0.137956797068	0.137906971833	0.137906971833	0.137956797068	0.137956797068	0.0522526300903	0.0522526300903	0.137956797068	0.137956797068	0.0586355231805	0.0586355231805	0.0481742046104	0.0481742046104	0.0538490310771	0.0538490310771	0.00622492692353	0.00622492692353	0.0547792031458	0.0547792031458	0.000523397226515	0.000523397226515	0.0545919801228	0.0545919801228	2.88835006913e-05	2.88835006913e-05	0.0545727437692	0.0545727437692	6.34092777202e-07	6.34092777202e-07	0.0545744502307	0.0545744502307
128	0.0543488132934	0.0543488132933	0.0166893452135	0.0166893452136	7.25690047464e-06	0.137956937339	0.137956937339	0.137944410036	0.137944410036	0.137956937339	0.137956937339	0.0495922298123	0.0495922298123	0.137956937339	0.137956937339	0.0334405819308	0.0334405819308	0.0481738486142	0.0481738486142	0.015714989027	0.0157149890265	0.00622515214764	0.00622515214764	0.0165923491672	0.0165923491669	0.000523700274732	0.000523700274732	0.016406819081	0.0164068190813	2.96625247271e-05	2.96625247271e-05	0.0163880089379	0.0163880089379	6.34090009247e-07	6.34090009292e-07	0.0163896756212	0.0163896756208
256	0.0163107627002	0.0163107626996	0.0042804467924	0.00428044679277	3.55565426267e-06	0.137956972557	0.137956972557	0.137953826541	0.137953826541	0.137956972557	0.137956972557	0.0490318983417	0.0490318983417	0.137956972557	0.137956972557	0.0192906789712	0.0192906789712	0.048173759698	0.048173759698	0.00370307429142	0.00370307429149	0.00622520864308	0.00622520864308	0.00441923198902	0.00441923198902	0.000523780754762	0.000523780754762	0.00423388437507	0.00423388437507	3.00381674254e-05	3.00381674254e-05	0.00421583087154	0.00421583087154	6.73617399815e-07	6.73617399787e-07	0.00421742513242	0.00421742513242
