#TI Study with resolution 128x128 and for eps=0.10
#TX Parameter M for REXI
#TY Parameter h for REXI
h\M	1	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768
0.001953125	0.263342046772	0.19072890236	0.141547267887	0.14146250951	0.141462509661	5.77042241772	0.617153956576	0.38326606124	0.0777070486137	0.00803510822425	0.0162320779464	0.00234585175216	0.00143242826994	6.36945594184e-05	4.71725934821e-05	2.14966857679e-05
0.00390625	0.263341587302	0.190726216859	0.141547252542	0.141462509511	3.61491179917	4.46880082674	0.291162935458	0.0750305031096	0.00808751419896	0.0162232731589	0.00234979028724	0.00143223033735	6.40499444226e-05	4.72503563702e-05	2.15060207112e-05	4.32761491547e-06
0.0078125	0.263339749027	0.190715474376	0.141548527865	0.0873421852497	1.22998589924	0.288977667043	0.0738810861978	0.0081841424656	0.016206320295	0.00235771606754	0.00143186708714	6.47619557167e-05	4.74068529689e-05	2.15251265624e-05	4.31983811583e-06	1.48020541905e-06
0.015625	0.263332514032	0.190730844827	0.264446211266	0.508644530171	0.283575810048	0.072519378046	0.00837614971503	0.0161750291923	0.00237376594696	0.00143127094341	6.61911574989e-05	4.77237994666e-05	2.15651077845e-05	4.30460049716e-06	1.48060473328e-06	2.80446150254e-08
0.03125	0.263418693189	0.190262861641	0.293225661729	0.274801778804	0.070364523591	0.00875098903956	0.0161228191745	0.00240668714729	0.00143059934791	6.90721109557e-05	4.8373957854e-05	2.16522425321e-05	4.27541197484e-06	1.48203467916e-06	2.52018066974e-08	1.33895351532e-08
0.0625	0.262493583914	0.216125577695	0.268114355983	0.0682153128637	0.00946489147379	0.016059378696	0.00247604482922	0.00143133640613	7.49389773073e-05	4.97431009224e-05	2.18560452427e-05	4.22241946527e-06	1.48704199427e-06	1.93802574995e-08	1.20879058059e-08	6.64960997232e-09
0.125	0.26508033605	0.224049038618	0.0759902812073	0.0108066338693	0.0160951875414	0.00263074836697	0.00144116186837	8.72162601868e-05	5.27861364673e-05	2.23867797124e-05	4.13751875332e-06	1.50514536449e-06	7.70874291451e-09	9.49984125927e-09	6.21674106686e-09	3.45613357603e-09
0.25	0.259715969845	0.141160335366	0.0126075551761	0.0168573751258	0.00302163004144	0.00149531646504	0.000115022169107	6.03554903081e-05	2.39863052659e-05	4.043063612e-06	1.57752382021e-06	1.99838956589e-08	8.75499070313e-09	9.6386500079e-09	8.38133571321e-09	7.39344551394e-09
0.5	0.218943699795	0.032621274648	0.0250715326157	0.00433053729584	0.00176582662349	0.000194709172725	8.43687238144e-05	2.99275082309e-05	4.07690067451e-06	1.94653015657e-06	2.01316616865e-07	1.52074342873e-07	1.56828311567e-07	1.57137694836e-07	1.56633856267e-07	1.56130079339e-07
1.0	13.0292185414	1.49313831792	0.0154115508938	0.0035554286572	0.00064436881991	0.000221993483375	6.46467101772e-05	5.02563086524e-06	6.19731887364e-06	3.82542880291e-06	3.59991402337e-06	3.62951888343e-06	3.63517302411e-06	3.63542462842e-06	3.63463381921e-06	3.63416277675e-06
2.0	35774558.537	55198.2183953	0.22630832508	0.0229168455323	0.00582278336097	0.0012595090454	6.44478096174e-05	5.06033267007e-05	2.07880142836e-05	2.1115970596e-05	1.9328014704e-05	1.8984484483e-05	1.89206780748e-05	1.89214426958e-05	1.89327256952e-05	1.89306755749e-05
